,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,J52G606,미래G606기아콜,20210827,20,0,-20
1,J52G606,미래G606기아콜,20210826,20,0,-20
2,J52G606,미래G606기아콜,20210825,20,0,-20
3,J52G606,미래G606기아콜,20210824,20,0,-20
4,J52G606,미래G606기아콜,20210823,10,0,-10
5,J52G606,미래G606기아콜,20210820,600,0,-600
6,J52G606,미래G606기아콜,20210819,30000,0,-30000
7,J52G606,미래G606기아콜,20210818,50000,0,-50000
8,J52G606,미래G606기아콜,20210817,80000,0,-80000
9,J52G606,미래G606기아콜,20210813,800,0,-800
10,J52G606,미래G606기아콜,20210812,0,0,0
11,J52G606,미래G606기아콜,20210811,90000,0,-90000
12,J52G606,미래G606기아콜,20210810,10000,0,-10000
13,J52G606,미래G606기아콜,20210809,40000,0,-40000
14,J52G606,미래G606기아콜,20210806,60000,0,-60000
15,J52G606,미래G606기아콜,20210805,130010,0,-130010
16,J52G606,미래G606기아콜,20210804,90010,0,-90010
17,J52G606,미래G606기아콜,20210803,10,0,-10
18,J52G606,미래G606기아콜,20210802,20010,0,-20010
19,J52G606,미래G606기아콜,20210730,10,0,-10
20,J52G606,미래G606기아콜,20210729,10,0,-10
21,J52G606,미래G606기아콜,20210728,10,0,-10
22,J52G606,미래G606기아콜,20210727,600,0,-600
23,J52G606,미래G606기아콜,20210726,10,0,-10
24,J52G606,미래G606기아콜,20210723,400,0,-400
25,J52G606,미래G606기아콜,20210722,10,0,-10
26,J52G606,미래G606기아콜,20210721,600,0,-600
27,J52G606,미래G606기아콜,20210720,300,0,-300
28,J52G606,미래G606기아콜,20210719,690,0,-690
29,J52G606,미래G606기아콜,20210716,700,0,-700
30,J52G606,미래G606기아콜,20210715,0,0,0
31,J52G606,미래G606기아콜,20210714,0,0,0
32,J52G606,미래G606기아콜,20210713,0,0,0
33,J52G606,미래G606기아콜,20210712,0,0,0
34,J52G606,미래G606기아콜,20210709,0,0,0
35,J52G606,미래G606기아콜,20210708,0,0,0
36,J52G606,미래G606기아콜,20210707,100,0,-100
37,J52G606,미래G606기아콜,20210706,100,0,-100
38,J52G606,미래G606기아콜,20210705,0,0,0
39,J52G606,미래G606기아콜,20210702,0,0,0
40,J52G606,미래G606기아콜,20210701,0,0,0
41,J52G606,미래G606기아콜,20210630,0,0,0
42,J52G606,미래G606기아콜,20210629,0,0,0
43,J52G606,미래G606기아콜,20210628,0,0,0
44,J52G606,미래G606기아콜,20210625,0,0,0
45,J52G606,미래G606기아콜,20210624,0,0,0
46,J52G606,미래G606기아콜,20210623,0,0,0
47,J52G606,미래G606기아콜,20210622,0,0,0
48,J52G606,미래G606기아콜,20210621,0,0,0
49,J52G606,미래G606기아콜,20210618,0,0,0
50,J52G606,미래G606기아콜,20210617,0,0,0
51,J52G606,미래G606기아콜,20210616,0,0,0
52,J52G606,미래G606기아콜,20210615,0,0,0
53,J52G606,미래G606기아콜,20210614,400,0,-400
54,J52G606,미래G606기아콜,20210611,0,0,0
55,J52G606,미래G606기아콜,20210610,0,0,0
56,J52G606,미래G606기아콜,20210609,0,0,0
57,J52G606,미래G606기아콜,20210608,0,0,0
58,J52G606,미래G606기아콜,20210607,0,0,0
59,J52G606,미래G606기아콜,20210604,0,0,0
60,J52G606,미래G606기아콜,20210603,0,0,0
61,J52G606,미래G606기아콜,20210602,0,0,0
62,J52G606,미래G606기아콜,20210601,0,0,0
63,J52G606,미래G606기아콜,20210531,0,0,0
64,J52G606,미래G606기아콜,20210528,0,0,0
65,J52G606,미래G606기아콜,20210527,0,0,0
66,J52G606,미래G606기아콜,20210526,0,0,0
67,J52G606,미래G606기아콜,20210525,0,0,0
